,ret,up_days,std,maxdn,category
19921009,0.3693776014694947,0.6029046169560883,-0.18369271659997277,0.29189936841732694,0
19921012,0.3406554964113866,0.6029046169560883,-0.19036725150676934,0.29189936841732694,0
19921013,0.09684491210251055,0.3999565201333775,-0.1910114994453269,0.29189936841732694,0
19921014,0.06794518487695643,0.1970084233106667,-0.24479809026534585,0.29189936841732694,1
19921015,0.12068062030175551,0.3999565201333775,-0.24080886094158577,0.29189936841732694,0
19921016,0.01632502600513242,0.1970084233106667,-0.2391811227835054,0.29189936841732694,1
19921019,-0.10607746102918204,-0.005939673512044106,-0.23518721294514164,0.29189936841732694,1
19921020,-0.19893872316022668,-0.005939673512044106,-0.23595859900058586,0.29189936841732694,1
19921021,-0.16832880630285443,-0.20888777033475378,-0.24609529539748007,0.17290148603700795,1
19921022,-0.21894688434676224,-0.20888777033475378,-0.2560527991603288,0.17290148603700795,1
19921023,-0.32947773510970435,-0.20888777033475378,-0.25070299757243303,0.17290148603700795,1
19921026,-0.5039012240396737,-0.4118358671574646,-0.1972845923588724,0.15939330891254727,1
19921027,-0.3298880731006856,-0.4118358671574646,-0.19584670952109615,0.15939330891254727,1
19921028,-0.3708196868625255,-0.20888777033475378,-0.2495552100797338,0.15939330891254727,1
19921029,-0.3127657878406536,-0.20888777033475378,-0.25261526995289657,0.15939330891254727,1
19921030,-0.22075562869080495,-0.20888777033475378,-0.25418901327838955,0.15939330891254727,1
19921102,-0.5031802857129353,-0.20888777033475378,-0.2154300444822003,0.15939330891254727,1
19921103,-0.5260719356753439,-0.20888777033475378,-0.2149439627028517,0.15939330891254727,1
19921104,-0.3663372582053249,-0.4118358671574646,-0.22669306039859816,-0.06774376040305868,1
19921105,-0.4121245703116729,-0.4118358671574646,-0.27559534650810225,-0.06774376040305868,1
19921106,-0.2626271973579645,-0.4118358671574646,-0.2757557111178112,-0.06774376040305868,1
19921109,-0.4042960287986012,-0.4118358671574646,-0.29533758876772903,-0.06774376040305868,1
19921110,-0.45396729709694283,-0.6147839639801754,-0.31435104667069874,-0.0334505166044287,1
19921111,-0.4541694693745003,-0.8177320608028862,-0.31283495627141816,0.06942921479146368,1
19921112,-0.6324500733765263,-0.8177320608028862,-0.2973428173916688,0.28376198853290574,1
